Artiest;Song;Jaartal;Groep
Aretha Franklin;All Night Long;1961;0
Funky Notes;Never Knew;2012;0
Aretha Franklin;Never Grow Old;1962;1
Floorplan;Never Grow Old (Re-Plant);2014;1
Aretha Franklin;Try a Little Tenderness;1962;2
SOG;Mindig Új;2004;2
Aretha Franklin;One Step Ahead;1965;3
Mos Def;Ms. Fat Booty;1999;3
Tyrese feat. Mos Def;Taking Forever;2002;3
Danny Brown;1 Step;2010;3
Blu and Exile;The Only One;2011;3
Xaphoon Jones;Aretha Franklin - One Step Ahead [Empire State Riddim];2011;3
Revolutionary Rhythm;1 Step Ahead;2011;3
Amerigo Gazaway;Ms. Fat Booty;2014;3
GOH and Sugarstarr feat. Redman and Method Man;I Used to Be;2014;3
Amerigo Gazaway;Ms. Fat Booty;2014;3
Aretha Franklin;Cry Like a Baby;1966;4
Atmosphere;Tears for the Sheep;2001;4
The Away Team feat. Rapper Big Pooh, Chaundon and Joe Scudda;On the Line;2005;4
Czarface feat. Roc Marciano;Cement 3's;2013;4
Aretha Franklin;Sweet Bitter Love;1966;5
Handsome Boy Modeling School feat. Miho Hatori and Mike D;Metaphysical;1999;5
Aretha Franklin;You Are My Sunshine;1967;6
Mobb Deep;Drop a Gem on 'Em;1996;6
Cypress Hill;The Funky Cypress Hill Shit;1991;6
Lady Blacktronika;If Some Rain;2009;6
Aretha Franklin;(You Make Me Feel Like) a Natural Woman;1967;7
Alicia Keys;Lovin U;2001;7
House of Pain;I'm a Swing It;1994;7
Aretha Franklin;A Change Is Gonna Come ;1967;8
Capone-N-Noreaga;Halfway Thugs;1977;8
Aretha Franklin;Respect ;1967;9
Finesse & Synquis;Bass Game;1986;9
Kool Moe Dee;No Respect;1987;9
Eddie Murphy;This Is My House;1987;9
K.G.B.;Respect Rap;1988;9
The Real Roxanne;Respect ;1988;9
Anquette;Respect  ;1988;9
T.L.C. ;Respect;1988;9
The 28th St. Crew;I Need a Rhythm;1989;9
Kool Kris;Respect;1989;9
Doctor Ice;Just a Little Bit;1989;9
Underground Posse;Master Mix 89 (Side A);1989;9
Teena Marie;Mr. Icecream;1990;9
Public Enemy;Revolutionary Generation;1990;9
A Lighter Shade of Brown;Paquito Soul;1990;9
Queen D;Queen D's World;1990;9
D.J. H. feat. Stefy;I Like It (D.J. Molella Remix);1991;9
New Black Nation ;Soul Vibration;1991;9
Origination;R.E.S.P.E.C.T.;1992;9
Gunshot;To Those Who Deserve It;1993;9
The Next Diffusion;Affiancati: To the Next Line;1995;9
Lady Laistee feat. Diam's;Un Peu De Respect;2002;9
El Chojin;Lo Que Quieras;2005;9
Joss Stone;Headturner ;2007;9
RLP and Barbara Tucker;R.E.S.P.E.C.T;2010;9
Aretha Franklin;Dr. Feelgood;1967;10
Cypress Hill;Born to Get Busy;1991;10
Poor Righteous Teachers;Strictly Mash'ion;1991;10
